prompt,layer_4,layer_3,layer_22,layer_17,layer_10,layer_19,layer_2,cfg,layer_5,layer_18,layer_11,layer_16,layer_23,layer_15,layer_12,layer_20,layer_6,layer_1,layer_8,layer_21,layer_13,layer_14,layer_9,layer_0,layer_7
prompt_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9252306818962097,0.9020592570304871,0.9525998830795288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9450701475143433,0.0,0.0,0.0,0.0,0.0
prompt_67,0.6053998470306396,0.7516010403633118,0.8139262199401855,0.8611207008361816,0.8968064188957214,0.804277777671814,0.6591588258743286,0.7940269708633423,0.5744571089744568,0.5610361099243164,0.921030580997467,0.7043727040290833,0.0,0.7526165843009949,0.7750094532966614,0.6586960554122925,0.8747171759605408,0.7909991145133972,0.6222338676452637,0.7890532612800598,0.5534238815307617,0.8010209798812866,0.9178737998008728,0.9614695906639099,0.9124128222465515
prompt_10,0.9583174586296082,0.9971052408218384,0.0,0.9484885334968567,0.9803227782249451,0.7760005593299866,0.9665887355804443,0.957825779914856,0.8934007585048676,0.8718804121017456,0.9765689969062805,0.9697184562683105,0.0,0.0,0.9713907241821289,0.0,0.8454951345920563,0.0,0.9799119234085083,0.0,0.8492794036865234,0.9355921745300293,0.9869890809059143,0.0,0.9898057579994202
prompt_89,0.9967848062515259,0.0,0.0,0.0,0.9933370649814606,0.0,0.9843686819076538,0.0,0.0,0.985146164894104,0.9936295747756958,0.8749911189079285,0.0,0.0,0.9953072965145111,0.0,0.9770295321941376,0.9435485005378723,0.9428266286849976,0.0,0.0,0.0,0.9946432411670685,0.0,0.9949911534786224
prompt_83,0.9621305763721466,0.9955132007598877,0.7001602649688721,0.9827491939067841,0.9892942607402802,0.9498806297779083,0.7857103943824768,0.9846952557563782,0.9869367480278015,0.9907931387424469,0.9876022934913635,0.9878220558166504,0.0,0.7770273089408875,0.9910804033279419,0.8462395071983337,0.9789535105228424,0.8711234331130981,0.0,0.9765848815441132,0.9844284653663635,0.9871833324432373,0.9818215370178223,0.7367666959762573,0.9879615604877472
prompt_22,0.0,0.9913157522678375,0.0,0.0,0.9655450582504272,0.985531747341156,0.0,0.0,0.9878647327423096,0.0,0.8331224024295807,0.0,0.0,0.9858269095420837,0.5983296632766724,0.9791787266731262,0.0,0.9673043489456177,0.7105786800384521,0.0,0.0,0.9842458367347717,0.0,0.9232942163944244,0.0
prompt_55,0.9911466240882874,0.9599220752716064,0.0,0.6486387252807617,0.9068610668182373,0.9684988856315613,0.0,0.972233772277832,0.5321072340011597,0.0,0.7532244324684143,0.8125546276569366,0.0,0.9502546191215515,0.8440942466259003,0.827690452337265,0.9241895079612732,0.0,0.847000241279602,0.7893632650375366,0.977851152420044,0.7533803582191467,0.0,0.8919965624809265,0.9727970957756042
prompt_28,0.9574363231658936,0.9804912805557251,0.9811052680015564,0.9931709170341492,0.9990614056587219,0.9947718977928162,0.9937434196472168,0.997957706451416,0.5540934205055237,0.9968920946121216,0.9982264041900635,0.998477041721344,0.0,0.994259774684906,0.5133851766586304,0.9963993430137634,0.9663397669792175,0.9618768095970154,0.9850400686264038,0.9979766011238098,0.9982131719589233,0.9917081594467163,0.9961985349655151,0.0,0.8879562616348267
prompt_90,0.7951644957065582,0.9768882393836975,0.0,0.9942856431007385,0.7901334762573242,0.9863877296447754,0.9625101983547211,0.9817543625831604,0.9725213050842285,0.9202137291431427,0.9096689522266388,0.8663735091686249,0.0,0.9888989329338074,0.9682753086090088,0.7174342274665833,0.9493402540683746,0.9331061244010925,0.8898749053478241,0.5270630121231079,0.8640191555023193,0.9338838756084442,0.913566380739212,0.9778541326522827,0.877149909734726
prompt_74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_46,0.933565616607666,0.9427924752235413,0.0,0.8627434968948364,0.983639121055603,0.9438775777816772,0.9625836610794067,0.96158367395401,0.9684705138206482,0.9829031825065613,0.9888982176780701,0.9773721098899841,0.0,0.9386401176452637,0.91557377576828,0.9437212944030762,0.963726818561554,0.8257059454917908,0.9879333972930908,0.9334399700164795,0.9384724497795105,0.9687812924385071,0.9792683720588684,0.0,0.9753482937812805
prompt_41,0.0,0.994227409362793,0.9966859817504883,0.9254871010780334,0.0,0.0,0.8488166332244873,0.8763004541397095,0.9789218902587891,0.9962174296379089,0.0,0.0,0.0,0.0,0.9780207276344299,0.0,0.8714876770973206,0.954926073551178,0.6010317802429199,0.0,0.9803077578544617,0.8756518363952637,0.7388574481010437,0.997424840927124,0.9675459861755371
prompt_36,0.943336546421051,0.9674054384231567,0.0,0.9332603216171265,0.8979544639587402,0.0,0.8614983558654785,0.8622937202453613,0.6729122400283813,0.9136315584182739,0.8797664046287537,0.6841301918029785,0.0,0.9861307442188263,0.9910242557525635,0.0,0.9602050185203552,0.7232881784439087,0.9498841762542725,0.9342419505119324,0.9156664609909058,0.9530742764472961,0.9865033626556396,0.9817864298820496,0.8738642334938049
prompt_79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5640371441841125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_97,0.9757769107818604,0.9787644743919373,0.0,0.9940056800842285,0.9884689450263977,0.0,0.9914922118186951,0.9825530052185059,0.8320297002792358,0.9925785660743713,0.8706384897232056,0.0,0.0,0.9898217916488647,0.0,0.0,0.0,0.9638684391975403,0.9279687404632568,0.993583083152771,0.9919914603233337,0.989453911781311,0.9890670776367188,0.0,0.9511002898216248
prompt_73,0.8696885108947754,0.9449689388275146,0.0,0.9730795621871948,0.0,0.9299064874649048,0.7894769906997681,0.6822394132614136,0.6404446363449097,0.6892555952072144,0.8348233103752136,0.0,0.0,0.7000862956047058,0.0,0.9951707124710083,0.7036697864532471,0.0,0.5232445001602173,0.0,0.8825606107711792,0.5466801524162292,0.5509346127510071,0.0,0.663748562335968
prompt_52,0.9441592395305634,0.8091041743755341,0.5902199149131775,0.8098560869693756,0.9452101290225983,0.787293016910553,0.9666418731212616,0.9467531740665436,0.9124419093132019,0.8753829300403595,0.9698238670825958,0.9075099229812622,0.7429237067699432,0.9462001621723175,0.9576712846755981,0.839541882276535,0.9389714598655701,0.7774471342563629,0.9604399502277374,0.6942018270492554,0.9459185600280762,0.9635420441627502,0.9665153324604034,0.0,0.8665515184402466
prompt_25,0.9468066096305847,0.9296650886535645,0.0,0.8154280185699463,0.9250228404998779,0.8941037654876709,0.9248760342597961,0.9085918068885803,0.9057385325431824,0.920207142829895,0.9340663552284241,0.8946744203567505,0.0,0.8912492990493774,0.9307324886322021,0.9154745936393738,0.9253920912742615,0.7034769058227539,0.9316347241401672,0.884201169013977,0.9255204200744629,0.9253034591674805,0.9256840348243713,0.944371223449707,0.9296137094497681
prompt_58,0.8556614518165588,0.9984799027442932,0.99696946144104,0.9893143177032471,0.9928027987480164,0.9686486124992371,0.9958122372627258,0.9951701760292053,0.9903805255889893,0.9942878484725952,0.9410637021064758,0.9950932860374451,0.9854514598846436,0.9975684285163879,0.9934045672416687,0.998157799243927,0.9951088428497314,0.9892873167991638,0.9974013566970825,0.9963636994361877,0.9981421828269958,0.9975104331970215,0.9969828724861145,0.0,0.9904341697692871
prompt_17,0.9742557108402252,0.937361478805542,0.9326415657997131,0.8005596697330475,0.9879408180713654,0.987840086221695,0.9574165046215057,0.974803239107132,0.9598800837993622,0.9487470090389252,0.9781900942325592,0.9921200573444366,0.0,0.9918054938316345,0.7475006878376007,0.985185980796814,0.9724849760532379,0.9691933393478394,0.9498291015625,0.9936128854751587,0.9814698994159698,0.9905615746974945,0.9821847379207611,0.9479384422302246,0.9827890992164612
prompt_60,0.7756648063659668,0.9625958800315857,0.9306686520576477,0.8644483685493469,0.9673364162445068,0.0,0.9866849780082703,0.9685728549957275,0.9794716835021973,0.7290146350860596,0.9824707508087158,0.9502301812171936,0.0,0.9365272521972656,0.980332612991333,0.0,0.9876130819320679,0.8963689208030701,0.5169690847396851,0.9741185307502747,0.0,0.836352527141571,0.954265296459198,0.0,0.9955135583877563
prompt_84,0.9769723415374756,0.9407333731651306,0.0,0.9837055802345276,0.9895787835121155,0.9902575016021729,0.9613771438598633,0.9967631101608276,0.9174824357032776,0.9384612441062927,0.9492000341415405,0.0,0.0,0.9705905914306641,0.0,0.9882329106330872,0.9078955054283142,0.8578957915306091,0.9896328449249268,0.7383846044540405,0.9594911336898804,0.9111983776092529,0.9653365015983582,0.9810606241226196,0.9925541281700134
prompt_3,0.9960454702377319,0.9966426491737366,0.9918044805526733,0.0,0.993539571762085,0.98784339427948,0.9971976280212402,0.995547354221344,0.996610701084137,0.9921244978904724,0.9922159314155579,0.9928146600723267,0.0,0.975624680519104,0.992923378944397,0.9551765322685242,0.9923126697540283,0.9651724696159363,0.9938569068908691,0.9913701415061951,0.992683470249176,0.9879100918769836,0.9938682317733765,0.0,0.9908763766288757
prompt_9,0.9860985279083252,0.9984478950500488,0.0,0.0,0.984154999256134,0.9998691082000732,0.975200742483139,0.9953031539916992,0.9901991486549377,0.9990047216415405,0.9980679154396057,0.9932361245155334,0.0,0.9976344704627991,0.9986693859100342,0.9990336894989014,0.9974934458732605,0.9926930665969849,0.9864308834075928,0.9994041919708252,0.999466598033905,0.9979776740074158,0.949300229549408,0.0,0.9980412125587463
prompt_19,0.6749498248100281,0.5701286792755127,0.0,0.0,0.7180062234401703,0.8828932046890259,0.0,0.7488968074321747,0.8998366892337799,0.9300717115402222,0.8904679417610168,0.0,0.0,0.7341986894607544,0.9574477672576904,0.0,0.6187838315963745,0.7334688901901245,0.6546520590782166,0.7792421877384186,0.6537685394287109,0.6946476101875305,0.8703297078609467,0.0,0.7713971138000488
prompt_80,0.9982675909996033,0.8265052437782288,0.5030513405799866,0.7980313301086426,0.0,0.9653924107551575,0.9902147650718689,0.9954651594161987,0.0,0.990263819694519,0.7455869913101196,0.0,0.0,0.0,0.9642717242240906,0.9401609897613525,0.9839334189891815,0.0,0.873441755771637,0.0,0.0,0.0,0.818791925907135,0.0,0.9667335450649261
prompt_13,0.9774482846260071,0.8957918286323547,0.9966862201690674,0.9989976286888123,0.9171217679977417,0.966463714838028,0.8396038711071014,0.9969373047351837,0.9982864260673523,0.9930213689804077,0.988697350025177,0.9944035112857819,0.0,0.9990246891975403,0.9529227614402771,0.9637143611907959,0.9536074697971344,0.9989400506019592,0.9876071512699127,0.9975014925003052,0.997585117816925,0.9989578723907471,0.9429430961608887,0.0,0.9710776507854462
prompt_64,0.9700671434402466,0.7209230661392212,0.8043057322502136,0.0,0.9150362014770508,0.9152904152870178,0.756705105304718,0.976506769657135,0.9882691502571106,0.9232107400894165,0.7331942319869995,0.8508041501045227,0.9799795150756836,0.0,0.6490346193313599,0.818336546421051,0.7390635013580322,0.6734036207199097,0.9701493382453918,0.8177222609519958,0.9095591902732849,0.9802781343460083,0.9888625144958496,0.0,0.6422712802886963
prompt_7,0.9398896098136902,0.9599018096923828,0.0,0.8582724332809448,0.9738635420799255,0.971576452255249,0.0,0.9567933678627014,0.9630667567253113,0.9516283273696899,0.9623635411262512,0.9511740207672119,0.0,0.9228940010070801,0.9696705341339111,0.0,0.9503357410430908,0.0,0.962277352809906,0.9787309169769287,0.9425182938575745,0.9566062688827515,0.9665586948394775,0.0,0.959945797920227
prompt_56,0.9905506372451782,0.9854844510555267,0.0,0.9863802790641785,0.9873420000076294,0.9903622567653656,0.9836887717247009,0.9854718744754791,0.9896405339241028,0.9906451106071472,0.9743508994579315,0.9887434542179108,0.0,0.9447042047977448,0.9744860827922821,0.9960194230079651,0.9918995797634125,0.9939866960048676,0.9854250550270081,0.9935640096664429,0.9825166761875153,0.9638395309448242,0.9734039902687073,0.993061900138855,0.9704278409481049
prompt_21,0.9532852172851562,0.9134848117828369,0.0,0.8068491220474243,0.9396046996116638,0.867732584476471,0.8846038579940796,0.9424373507499695,0.6717216372489929,0.8995270133018494,0.9523001909255981,0.6703163385391235,0.0,0.8158463835716248,0.8884917497634888,0.5821030139923096,0.9448822736740112,0.8343210220336914,0.9418240785598755,0.6238069534301758,0.7215713262557983,0.9292518496513367,0.9393923282623291,0.9132874011993408,0.5347778797149658
prompt_99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9169319868087769,0.0
