prompt,layer_10,layer_17,layer_19,layer_6,layer_1,layer_22,layer_8,cfg,layer_9,layer_23,layer_0,layer_7,layer_18,layer_16,layer_11,layer_20,layer_4,layer_3,layer_12,layer_15,layer_14,layer_13,layer_2,layer_5,layer_21
prompt_39,0.6837342977523804,0.0,0.0,0.0,0.0,0.7828517556190491,0.0,0.8483422994613647,0.9155811071395874,0.0,0.0,0.6095856428146362,0.6111578941345215,0.8674740791320801,0.8431131839752197,0.0,0.7695190906524658,0.0,0.0,0.7234806418418884,0.761813759803772,0.6670211553573608,0.6151161789894104,0.795028567314148,0.0
prompt_81,0.9983148574829102,0.0,0.0,0.0,0.97755366563797,0.0,0.0,0.0,0.977715253829956,0.0,0.0,0.8699635863304138,0.9977089762687683,0.0,0.0,0.0,0.0,0.0,0.9960722923278809,0.9979066252708435,0.0,0.5927906632423401,0.0,0.0,0.0
prompt_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_12,0.9957271814346313,0.0,0.9973341822624207,0.9947280287742615,0.9795810580253601,0.0,0.9826655983924866,0.9957747459411621,0.9791088700294495,0.0,0.0,0.9980233907699585,0.7115213871002197,0.9989142417907715,0.991109311580658,0.7959062457084656,0.9941366910934448,0.9967290163040161,0.9100437760353088,0.9988135695457458,0.9953683614730835,0.9953899383544922,0.9986025094985962,0.0,0.9918815493583679
prompt_65,0.9935300946235657,0.9952126741409302,0.9984698295593262,0.9824619293212891,0.0,0.0,0.9555319845676422,0.9592753648757935,0.9847108125686646,0.0,0.0,0.9913287162780762,0.9982548952102661,0.9973343014717102,0.9945886135101318,0.6206339597702026,0.9044376611709595,0.9233469069004059,0.994807243347168,0.7470176219940186,0.9969451427459717,0.9972683787345886,0.9926753044128418,0.9663718938827515,0.0
prompt_57,0.9799733757972717,0.9968458414077759,0.9940956830978394,0.9921124577522278,0.9975849986076355,0.0,0.9555728435516357,0.9875290989875793,0.983583390712738,0.0,0.0,0.9887816905975342,0.623569130897522,0.9635800123214722,0.9685481190681458,0.9141178131103516,0.975461483001709,0.979099690914154,0.6128813028335571,0.7892597913742065,0.9875789284706116,0.9968635439872742,0.9955810904502869,0.9958890676498413,0.9948422908782959
prompt_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9779093861579895,0.0,0.0,0.9903790950775146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_50,0.9761516451835632,0.9829075932502747,0.0,0.9823272228240967,0.9854757785797119,0.0,0.9729481339454651,0.9741783738136292,0.9688377976417542,0.0,0.9988656640052795,0.0,0.9812002778053284,0.9552341103553772,0.976288914680481,0.0,0.9819388389587402,0.9885232448577881,0.9898493885993958,0.0,0.0,0.0,0.9786792993545532,0.0,0.0
prompt_68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
