Mode,Average_Score
layer_2,6.168339786529541
layer_5,6.1765086722373965
layer_12,6.181305618286133
layer_15,6.136733304262162
layer_20,6.086613354682922
layer_4,6.264097123146057
layer_3,6.170683889389038
layer_21,6.174944541454315
layer_14,6.117866649627685
layer_13,6.157461638450623
cfg,6.1467283344268795
layer_22,6.0647335886955265
layer_19,6.145869059562683
layer_10,6.1552325963974
layer_17,6.16450264453888
layer_9,6.2272505903244015
layer_0,5.281394571065903
layer_7,6.149842042922973
layer_16,6.144194142818451
layer_11,6.214203109741211
layer_18,6.187839701175689
layer_23,6.157645876407623
layer_6,6.25381986618042
layer_1,5.974975762367248
layer_8,6.2084290885925295
