cfg_scale,slg_scale,avg_score
0.0,0.0,0.19324851370519042
0.0,1.0,0.19324851370519042
0.0,2.0,0.18522374869073321
0.0,3.0,0.18844726003027587
1.5,0.0,0.1807570289368327
1.5,1.0,0.1807570289368327
1.5,2.0,0.19252831067034268
1.5,3.0,0.19413594900025602
3.0,0.0,0.1815545399924032
3.0,1.0,0.1815545399924032
3.0,2.0,0.1808277864842449
3.0,3.0,0.1871280482800491
4.5,0.0,0.16933810454460796
4.5,1.0,0.16933810454460796
4.5,2.0,0.16156695741212798
4.5,3.0,0.17466084593167244
6.0,0.0,0.18296578731377508
6.0,1.0,0.18296578731377508
6.0,2.0,0.18517254156156848
6.0,3.0,0.17019830195043123
